name,set,SMILES,Ar,R,solvent,concentration,T(K),e.r.,ratio(R),ddG,ddG calib (C=0.05),,
3,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccccc2)-c2ccccc2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccccc1)-c1ccccc1,[C:2][c:1]1ccccc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,47.0:53.0,0.47,-0.3128,-0.3504,,
4,a,Cc1cccc(c1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cccc(C)c1)-c1cccc(C)c1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cccc(C)c1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1cccc(C)c1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,51.0:49.0,0.51,0.1042,0.1167,,
5,a,Cc1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(C)cc1)-c1ccc(C)cc1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(C)cc1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(C)cc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,44.5:55.5,0.445,-0.5751,-0.6441,,
6,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cccc3ccccc23)-c2cccc3ccccc23)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc2ccccc12)-c1cccc2ccccc12,[C:2][c:1]1cccc2ccccc12,FC(F)(F)S(=O)=O,toluene,0.05,333.15,77.5:22.5,0.775,3.4258,3.4258,,
6,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cccc3ccccc23)-c2cccc3ccccc23)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc2ccccc12)-c1cccc2ccccc12,[C:2][c:1]1cccc2ccccc12,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,79.5:20.5,0.795,3.7542,3.7542,,
7,a,CC(C)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)C)-c1ccc(cc1)C(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)C)=NS(=O)(=O)C(F)(F)F,CC(C)c1cc[c:1]([C:2])cc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,26.0:74.0,0.26,-2.7234,-3.0504,,
8,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3ccccc3c2)-c2ccc3ccccc3c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2ccccc2c1)-c1ccc2ccccc2c1,[C:2][c:1]1ccc2ccccc2c1,FC(F)(F)S(=O)=O,toluene,0.185,323.15,50.5:49.5,0.505,0.1075,0.1204,,
9,a,Cc1ccc(-c2cc3ccccc3c-3c2OP(NP2(Oc4c(cc5ccccc5c4-c4c(O2)c(cc2ccccc42)-c2ccc(C)c4ccccc24)-c2ccc(C)c4ccccc24)=NS(=O)(=O)C(F)(F)F)(Oc2c(cc4ccccc4c-32)-c2ccc(C)c3ccccc23)=NS(=O)(=O)C(F)(F)F)c2ccccc12,[C:2][c:1]1ccc(C)c2ccccc12,FC(F)(F)S(=O)=O,toluene,0.185,333.15,70.0:30.0,0.7,2.347,2.6288,,
10,a,CC(C)(C)c1cccc(c1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cccc(c1)C(C)(C)C)-c1cccc(c1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cccc(c1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1cccc(c1)C(C)(C)C,FC(F)(F)S(=O)=O,toluene,0.185,313.15,74.0:26.0,0.74,2.7234,3.0504,,
11,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3CCc4cccc2c34)-c2ccc3CCc4cccc2c34)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2CCc3cccc1c23)-c1ccc2CCc3cccc1c23,[C:2][c:1]1ccc2CCc3cccc1c23,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,66.5:33.5,0.665,1.899,1.899,,
